id;id_usuario;nome;cpf
1;51554;circuit SCSI;deposit
2;18239;Quetzal Crianças Data;program
3;91009;Palau Alameda FTP;neural Buckinghamshire Amapá
4;8954;Berkshire user-centric Madeira;Borders púrpura cross-platform
5;936;Saúde Metrics proactive;robust logistical
6;65098;Vaticano Bicicleta;Bedfordshire Cuba navigating
7;60987;Corporate Research Luvas;payment
8;29384;Lustroso innovate auxiliary;International Qatar Rio
9;34583;e-commerce demand-driven methodology;Executive púrpura
10;8030;Genérico Crianças concept;Chapéu Acre Checking
